445,323
634,757
980,623
858,378
855,375
974,618
1320,626
1274,404
977,616
1319,626
846,839
639,754
450,329
853,392
867,300
654,210
864,302
848,396
1275,404
1267,356
1908,361
1321,629
1456,231
1678,237
1265,359
1223,176
1462,233
1318,633
895,175
659,204
873,323
1277,360
863,83
1239,179
1279,360
874,181
558,812
446,1058
172,637
304,434
144,619
376,365
330,192
105,246
275,730
175,981
297,1199
563,1199
404,358
1179,287
806,115
642,200
365,187
766,101
429,322
363,182
1708,547
1747,502
1851,528
1780,602
1845,530
1910,574
1866,623
1779,605
1746,504
1822,441
1864,498
1847,537
1867,502
1918,554
1907,582
1838,534
678,989
809,937
722,1163
601,1083
807,941
847,1007
795,1134
715,1162
1530,70
1515,130
1568,116
1568,78
1587,138
1520,150
1509,127
1561,110
1602,105
1588,131
1562,105
1570,72
1730,187
1798,223
1857,158
1827,121
1732,181
1751,108
1781,122
1821,108
1279,77
1270,121
1299,115
1305,86
1270,114
1302,134
1314,111
1294,96
1294,73
1400,74
1327,111
1294,101
1013,815
992,862
1079,869
1036,824
1036,823
1157,809
1110,876
1072,857
1073,859
995,861
1011,905
1068,905
1063,907
1132,877
1088,853
1065,853

